구군,읍면동,아파트명,평균매매가,분양면적,단지세대수,개별세대수,노후도,역세권점수,평균전세가,토지면적,문화시설수,쇼핑시설수,스타벅스,평균인구수,평균세대수,교육시설수,개발호재,평균혼인건수
남동구,논현동,주공2단지,253,76.03,1252,120,20.02,4,199,7.82,5,59,1,66981,26297,21,0,237
남동구,만수동,신동아,221,89.25,750,210,28.02,2,183,6.01,6,87,0,131757,52168,20,0,237
남동구,논현고잔동,에코메트로6단지한화꿈에그린,325,114.02,960,192,8,4,253,10.5,4,35,1,40601,14147,0,0,237
동구,송현동,송현주공,131,49.58,575,24,25.07,1,83,2.55,2,7,0,15846,6427,1,0,28
서구,검단동,하나2차,192,79.33,477,108,17.07,2,99,7.93,5,137,1,30647,12281,6,1,234
부평구,산곡동,푸르지오,421,109.28,765,152,7.02,0,386,3.6,7,45,0,94912,33872,19,0,238
부평구,삼산동,동남,145,79.33,138,6,29,2,95,3.08,2,36,1,70150,24954,12,0,238
연수구,송도동,송도더샵센트럴파크I,540,203.78,729,21,8.01,6,386,9.7,8,95,6,116156,38035,22,1,131
미추홀구,학익동,동아풍림,197,152.06,1480,320,19,0,136,5.87,5,40,1,55772,21565,10,0,196
서구,불로대곡동,백두,147,125.62,175,15,23,0,79,10.8,1,12,0,23627,8709,3,1,234
계양구,계양동,계양센트레빌1단지,333,111.27,715,145,5.1,3,265,30.45,4,63,0,88417,33845,13,0,132
중구,신흥동,삼익,153,115.7,434,63,39.02,1,99,3.52,2,16,0,14389,6288,4,0,58
서구,가좌동,신명2차,168,72.72,228,24,28,3,85,9.02,3,64,0,62390,25431,11,1,234
서구,가좌동,진주4단지,185,142.14,302,13,27.08,3,189,9.02,3,64,0,62390,25431,11,1,234
계양구,작전동,한화,218,82.64,179,179,20.1,1,172,1.8,3,39,1,56565,22155,7,0,132
동구,송현동,솔빛마을주공2차(201-203동),283,79.41,386,294,15,1,227,2.55,2,7,0,15846,6427,1,0,28
계양구,계산동,태평저층,231,56.19,432,168,28,2,160,4.55,5,91,1,84796,34699,17,0,132
미추홀구,용현동,대림,178,148.76,598,156,28.01,2,131,4.22,3,69,2,86717,36458,8,0,196
부평구,부평동,가나안미도4차,148,89.25,140,10,32.1,4,118,6.91,16,169,5,160052,69983,12,1,238
남동구,논현동,웰카운티,262,156.37,888,224,10.04,4,228,7.82,5,59,1,66981,26297,21,0,237
연수구,송도동,송도센트럴파크푸르지오,627,195.25,551,82,3.06,6,409,9.7,8,95,6,116156,38035,22,1,131
미추홀구,관교동,신비마을,187,69.42,510,370,24.09,1,144,0.89,2,13,0,17120,6544,6,0,196
서구,청라동,청라SKVIEW,353,161.25,879,90,7,1,242,2.28,3,63,2,87914,28647,9,1,234
남동구,논현고잔동,에코메트로11단지한화꿈에그린,288,164.69,1622,42,9.05,4,261,10.5,4,35,1,40601,14147,0,0,237
중구,송월동,송월,127,72.72,340,40,38.05,0,62,2,1,3,0,5045,2272,0,0,58
부평구,산곡동,스카이뷰숲,240,93.68,191,30,11.07,0,249,3.6,7,45,0,94912,33872,19,0,238
서구,석남동,동남,139,52.89,360,168,29.07,0,91,5.17,3,52,0,54919,23763,7,1,234
미추홀구,주안동,신비마을,189,85.95,450,150,23.12,4,128,6.18,12,147,1,153821,68743,9,0,196
미추홀구,학익동,원흥,206,109.09,396,176,22.01,0,177,5.87,5,40,1,55772,21565,10,0,196
남동구,논현동,단풍마을뜨란채11단지,284,106.57,898,236,12.04,4,235,7.82,5,59,1,66981,26297,21,0,237
