구시군,읍면동,아파트명,평균매매가 제곱미터당(만원),분양면적,단지세대수,개별세대수,노후도,역세권점수,전세평균제곱미터당(만원),토지면적.km2.,문화시설수,쇼핑시설수,스타벅스,평균 인구수,평균 세대수,교육시설 수,개발호재유무,혼인건수3년평균
강화군,강화읍,BAYHILL,182,105.88,179,24,14.03,0,90,24.957,9,27,0,22882,9874,9,0,18
강화군,강화읍,BAYHILL,173,95.14,179,60,14.03,0,88,24.957,9,27,0,22882,9874,9,0,18
강화군,강화읍,BAYHILL,169,79.8,179,95,14.03,0,84,24.957,9,27,0,22882,9874,9,0,18
강화군,선원면,강화1차세광엔리치빌,138,109.09,576,576,17.11,0,87,21.392,2,4,0,7667,3219,1,0,18
강화군,선원면,강화2차세광엔리치빌,173,86.65,497,262,14.09,0,114,21.392,2,4,0,7667,3219,1,0,18
강화군,선원면,강화2차세광엔리치빌,168,104.09,497,120,14.09,0,112,21.392,2,4,0,7667,3219,1,0,18
강화군,선원면,강화2차세광엔리치빌,167,127.36,497,89,14.09,0,110,21.392,2,4,0,7667,3219,1,0,18
강화군,선원면,강화2차세광엔리치빌,164,129.65,497,26,14.09,0,110,21.392,2,4,0,7667,3219,1,0,18
강화군,강화읍,그랑드빌,158,76.03,98,45,18,0,85,24.957,9,27,0,22882,9874,9,0,18
강화군,강화읍,그랑드빌,142,105.78,98,33,18,0,80,24.957,9,27,0,22882,9874,9,0,18
강화군,강화읍,그랑드빌,131,145.45,98,20,18,0,69,24.957,9,27,0,22882,9874,9,0,18
강화군,강화읍,설호,82,76.03,90,10,28.02,0,43,24.957,9,27,0,22882,9874,9,0,18
강화군,강화읍,설호,76,89.25,90,30,28.02,0,36,24.957,9,27,0,22882,9874,9,0,18
강화군,강화읍,설호,73,99.17,90,50,28.02,0,35,24.957,9,27,0,22882,9874,9,0,18
강화군,강화읍,용진2,87,59.5,60,20,28.02,0,38,24.957,9,27,0,22882,9874,9,0,18
강화군,강화읍,용진2,82,82.64,60,40,28.02,0,36,24.957,9,27,0,22882,9874,9,0,18
강화군,강화읍,유성,89,76.03,150,30,27.09,0,66,24.957,9,27,0,22882,9874,9,0,18
강화군,강화읍,유성,88,99.17,150,25,27.09,0,61,24.957,9,27,0,22882,9874,9,0,18
강화군,강화읍,현대,142,105.78,219,137,24.08,0,92,24.957,9,27,0,22882,9874,9,0,18
강화군,강화읍,현대,141,76.03,219,82,24.08,0,76,24.957,9,27,0,22882,9874,9,0,18
계양구,계양동,삼우,166,66.11,95,90,32.11,3,83,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,삼우,158,69.42,95,5,32.11,3,79,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,용정,155,62.81,84,60,30,3,92,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,용정,151,69.42,84,24,30,3,83,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,유호,171,76.03,156,72,28.03,3,122,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,유호,170,79.33,156,84,28.03,3,117,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,윤성,122,59.5,60,60,29.06,3,80,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,은영칠성,155,62.81,99,35,30,3,92,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,은영칠성,147,66.11,99,40,30,3,87,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,은영칠성,130,59.5,99,24,30,3,80,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,인우,170,63.15,80,40,34.04,3,107,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,한국,178,66.11,180,72,29.08,3,132,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,한국,176,69.42,180,12,29.08,3,126,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,한국,162,56.19,180,96,29.08,3,107,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,한일,155,62.81,96,36,29.07,3,92,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,한일,138,56.19,96,36,29.07,3,85,30.45,4,63,0,88417,33845,13,0,132
계양구,효성동,경남1차,227,72.72,320,20,31.05,0,144,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,경남1차,227,62.81,320,300,31.05,0,135,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,경남2차,215,62.81,156,108,28.07,0,131,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,경남2차,213,72.72,156,48,28.07,0,123,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,금호어울림,302,76.21,410,147,13.04,0,256,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,금호어울림,273,99.97,410,14,13.04,0,235,4.99,2,36,0,62311,23066,10,0,132
