읍면동,분양면적,총세대수,세대수,매매평균 ㎡당가(만원),노후도,역세권점수,전세평균 ㎡당가(만원),토지면적(km2),문화시설수,쇼핑시설수,스타벅스,,metro,culture,shop
강화읍,105.88,179,24,182,14.03,0,90,24.957,9,27,0,,0,0.360620267,1.081860801
강화읍,95.14,179,60,173,14.03,0,88,24.957,9,27,0,,0,0.360620267,1.081860801
강화읍,79.8,179,95,169,14.03,0,84,24.957,9,27,0,,0,0.360620267,1.081860801
선원면,109.09,576,576,138,17.11,0,87,21.392,2,4,0,,0,0.093492895,0.186985789
선원면,86.65,497,262,173,14.09,0,114,21.392,2,4,0,,0,0.093492895,0.186985789
선원면,104.09,497,120,168,14.09,0,112,21.392,2,4,0,,0,0.093492895,0.186985789
선원면,127.36,497,89,167,14.09,0,110,21.392,2,4,0,,0,0.093492895,0.186985789
선원면,129.65,497,26,164,14.09,0,110,21.392,2,4,0,,0,0.093492895,0.186985789
강화읍,76.03,98,45,158,18,0,85,24.957,9,27,0,,0,0.360620267,1.081860801
강화읍,105.78,98,33,142,18,0,80,24.957,9,27,0,,0,0.360620267,1.081860801
강화읍,145.45,98,20,131,18,0,69,24.957,9,27,0,,0,0.360620267,1.081860801
강화읍,76.03,90,10,82,28.02,0,43,24.957,9,27,0,,0,0.360620267,1.081860801
강화읍,89.25,90,30,76,28.02,0,36,24.957,9,27,0,,0,0.360620267,1.081860801
강화읍,99.17,90,50,73,28.02,0,35,24.957,9,27,0,,0,0.360620267,1.081860801
강화읍,59.5,60,20,87,28.02,0,38,24.957,9,27,0,,0,0.360620267,1.081860801
강화읍,82.64,60,40,82,28.02,0,36,24.957,9,27,0,,0,0.360620267,1.081860801
강화읍,76.03,150,30,89,27.09,0,66,24.957,9,27,0,,0,0.360620267,1.081860801
강화읍,99.17,150,25,88,27.09,0,61,24.957,9,27,0,,0,0.360620267,1.081860801
강화읍,105.78,219,137,142,24.08,0,92,24.957,9,27,0,,0,0.360620267,1.081860801
강화읍,76.03,219,82,141,24.08,0,76,24.957,9,27,0,,0,0.360620267,1.081860801
계양동,66.11,95,90,166,32.11,3,83,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,69.42,95,5,158,32.11,3,79,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,62.81,84,60,155,30,3,92,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,69.42,84,24,151,30,3,83,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,76.03,156,72,171,28.03,3,122,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,79.33,156,84,170,28.03,3,117,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,59.5,60,60,122,29.06,3,80,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,62.81,99,35,155,30,3,92,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,66.11,99,40,147,30,3,87,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,59.5,99,24,130,30,3,80,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,63.15,80,40,170,34.04,3,107,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,66.11,180,72,178,29.08,3,132,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,69.42,180,12,176,29.08,3,126,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,56.19,180,96,162,29.08,3,107,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,62.81,96,36,155,29.07,3,92,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
계양동,56.19,96,36,138,29.07,3,85,30.45,4,63,0,,0.098522167,0.13136289,2.068965517
효성동,72.72,320,20,227,31.05,0,144,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,62.81,320,300,227,31.05,0,135,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,62.81,156,108,215,28.07,0,131,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,72.72,156,48,213,28.07,0,123,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,76.21,410,147,302,13.04,0,256,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,99.97,410,14,273,13.04,0,235,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,108.31,410,183,259,13.04,0,217,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,148.76,410,6,229,13.04,0,178,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,161.67,410,60,216,13.04,0,161,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,69.42,460,70,166,33.05,0,113,4.99,2,36,0,,0,0.400801603,7.214428858
