행정구역,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2016.8,2016.9,2016.1,2016.11,2016.12,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2017.8,2017.9,2017.1,2017.11,2017.12,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2018.8,2018.9,2018.1,2018.11,2018.12
만석동,3288,3278,3292,3285,3276,3280,3268,3253,3254,3267,3264,3266,3260,3269,3256,3271,3274,3274,3312,3306,3302,3302,3311,3312,3309,3308,3302,3302,3295,3292,3299,3293,3301,3305,3297,3297
화수1.화평동,3095,3086,3092,3073,3077,3079,3078,3069,3075,3067,3064,3067,3062,3064,3061,3065,3064,3064,3068,3063,3059,3059,3053,3044,3034,3023,3012,3016,3020,3019,3023,3016,3013,3010,3021,3018
화수2동,3857,3855,3849,3847,3842,3848,3844,3843,3826,3825,3828,3826,3829,3826,3812,3812,3811,3811,3814,3808,3803,3803,3802,3800,3787,3771,3772,3783,3775,3777,3768,3765,3754,3757,3748,3740
송현1.2동,4509,4507,4501,4492,4496,4503,4488,4485,4496,4503,4496,4485,4476,4478,4476,4474,4483,4483,4473,4467,4461,4461,4462,4449,4430,4409,4385,4355,4336,4316,4301,4315,4308,4309,4280,4282
송현3동,1985,1984,1981,1981,1989,1987,1981,1983,1991,1995,2004,2005,2009,2012,2006,1994,1995,1995,2000,1997,1994,1994,1997,1998,1992,1985,1991,1993,1995,1985,1983,1984,1988,1989,1988,1988
송림1동,1307,1318,1322,1320,1314,1318,1313,1307,1301,1288,1290,1288,1291,1292,1288,1291,1283,1283,1270,1268,1266,1267,1245,1234,1219,1193,1130,1061,982,939,899,888,873,853,815,801
송림2동,1749,1756,1752,1752,1757,1768,1754,1759,1760,1752,1752,1752,1755,1752,1749,1748,1743,1743,1732,1730,1727,1728,1733,1725,1721,1706,1700,1693,1692,1695,1690,1685,1687,1679,1672,1668
송림3.5동,3859,3860,3835,3841,3831,3836,3831,3827,3820,3854,3876,3878,3883,3871,3864,3853,3860,3860,3865,3859,3854,3855,3855,3850,3843,3830,3820,3810,3792,3790,3806,3804,3793,3793,3793,3789
송림4동,1966,1947,1951,1946,1927,1924,1917,1902,1888,1881,1860,1840,1822,1816,1826,1829,1833,1833,1828,1826,1823,1824,1813,1808,1804,1807,1796,1785,1790,1791,1795,1817,1828,1831,1816,1797
송림6동,2982,2987,2987,2993,2986,2979,2975,2972,2975,2981,2985,2978,2977,2986,2987,3000,2991,2991,2987,2983,2979,2980,2974,2975,2969,2950,2950,2946,2942,2940,2936,2941,2945,2939,2938,2936
금창동,1730,1725,1711,1710,1710,1704,1694,1687,1681,1697,1700,1696,1695,1688,1691,1689,1696,1696,1676,1674,1671,1672,1673,1675,1662,1654,1647,1641,1647,1647,1653,1649,1650,1639,1638,1636
합계,30327,30303,30273,30240,30205,30226,30143,30087,30067,30110,30119,30081,30059,30054,30016,30026,30033,30033,30025,29981,29939,29945,29918,29870,29770,29636,29505,29385,29266,29191,29153,29157,29140,29104,29006,28952
