행정구역,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2016.8,2016.9,2016.1.1,2016.11,2016.12,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2017.8,2017.9,2017.1.1,2017.11,2017.12,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2018.8,2018.9,2018.1.1,2018.11,2018.12
간석동,44492,44483,44490,44433,44353,44272,44126,44123,44150,44160,44134,44119,44086,44090,44119,44203,44348,44348,44319,44443,44527,44616,44724,44807,44855,44855,44883,44924,45030,45141,45317,45392,45508,45620,45704,45720
구월동,46689,46813,46950,47012,47152,47181,47249,47377,47385,47490,47552,47703,47922,48178,48381,48503,48676,48676,48635,48771,48861,48967,48939,48936,48916,48923,49032,49172,49293,49401,49494,49580,49596,49543,49561,49504
남촌도림동,9402,9398,9384,9371,9382,9388,9380,9355,9341,9340,9337,9341,9334,9324,9318,9315,9306,9306,9198,9224,9241,9261,9233,9206,9196,9187,9142,9132,9108,9099,9094,9080,9074,9073,9057,9050
논현동,26214,26226,26252,26286,26272,26285,26295,26241,26298,26273,26304,26318,26358,26372,26408,26420,26450,26450,26197,26271,26319,26377,26381,26342,26226,26157,26128,26144,26134,26111,26181,26259,26328,26407,26452,26553
논현고잔동,13779,13778,13826,13826,13846,13874,13908,13951,13970,14037,14017,13998,13968,13974,13962,14041,14154,14154,14140,14180,14206,14237,14251,14275,14257,14245,14280,14313,14342,14370,14409,14431,14467,14529,14607,14670
만수동,52605,52598,52576,52551,52554,52509,52469,52391,52399,52414,52369,52346,52357,52281,52277,52260,52186,52186,51705,51850,51945,52060,52088,52064,51971,51915,51862,51847,51855,51932,51919,51926,51929,51919,51982,51947
서창동,9749,9765,9858,10040,10145,10162,10179,10212,10220,10245,10271,10286,10285,10303,10318,10325,10364,10364,11419,11451,11472,11497,11642,11944,12437,12856,13142,13352,13447,13527,13582,13648,13702,13763,13767,13745
장수서창동,5473,5482,5534,5637,5696,5705,5714,5733,5737,5751,5766,5774,5774,5785,5792,5796,5819,5819,6410,6428,6440,6454,6536,6706,6983,7218,7379,7496,7550,7594,7625,7663,7693,7727,7730,7756
합계,208403,208543,208870,209156,209400,209376,209320,209383,209500,209710,209750,209885,210084,210307,210575,210863,211303,211303,212023,212618,213011,213469,213794,214280,214841,215356,215848,216380,216759,217175,217621,217979,218297,218581,218860,218945
