행정구역,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2016.8,2016.9,2016.1.1,2016.11,2016.12,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2017.8,2017.9,2017.1.1,2017.11,2017.12,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2018.8,2018.9,2018.1.1,2018.11,2018.12
부평동,66333,66530,66679,66778,66938,67219,67502,67734,67972,68303,68739,68952,69156,69417,69563,69826,70411,70411,71792,71654,71636,71560,71710,71830,71789,71806,71781,71802,71831,71739,71732,71718,71722,71696,71589,71527
산곡동,34544,34538,34547,34565,34580,34574,34517,34453,34468,34484,34457,34427,34361,34331,34317,34267,34092,34092,33874,33810,33802,33771,33721,33659,33541,33486,33365,33290,33175,33124,33015,32926,32871,32809,32777,32762
청천동,20679,20651,20622,20590,20551,20488,20418,20245,19944,19384,18836,18589,18513,18393,18276,18247,18181,18181,17984,17950,17946,17929,17903,17863,17800,17753,17711,17682,17649,17641,17641,17638,17662,17736,17728,17776
갈산동,15264,15273,15276,15264,15253,15245,15254,15229,15227,15247,15237,15228,15242,15259,15264,15290,15312,15312,15449,15420,15416,15402,15461,15450,15433,15417,15382,15385,15421,15404,15404,15410,15401,15402,15408,15411
삼산동,24936,24939,24956,24940,24944,24938,24933,24926,24929,24912,24896,24902,24905,24877,24917,24974,25049,25049,25076,25028,25023,24999,24975,24961,24929,24888,24911,24923,24918,24918,24943,24971,24982,24989,24983,25001
부개동,29865,29857,29777,29781,29779,29766,29689,29585,29486,29388,29309,29251,29181,29128,29038,29002,28903,28903,28491,28436,28429,28403,28250,28164,28054,27911,27828,27784,27746,27716,27728,27707,27721,27727,27697,27670
일신동,5244,5250,5248,5255,5255,5241,5225,5208,5207,5217,5207,5206,5197,5191,5206,5221,5216,5216,5247,5237,5236,5231,5208,5172,5167,5133,5127,5134,5133,5128,5126,5135,5140,5138,5148,5156
십정동,20447,20427,20417,20381,20363,20354,20295,20268,20227,20098,20003,19937,19896,19852,19809,19748,19454,19454,18378,18343,18339,18322,18164,18093,18012,17951,17884,17807,17729,17717,17681,17661,17647,17626,17616,17603
합계,217312,217465,217522,217554,217663,217825,217833,217648,217460,217033,216684,216492,216451,216448,216390,216575,216618,216618,216291,215878,215827,215617,215392,215192,214725,214345,213989,213807,213602,213387,213270,213166,213146,213123,212946,212906
