행정구역,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2016.8,2016.9,2016.1.1,2016.11,2016.12,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2017.8,2017.9,2017.1.1,2017.11,2017.12,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2018.8,2018.9,2018.1.1,2018.11,2018.12
북도면,612,610,608,611,613,614,618,618,615,617,613,607,609,613,615,617,631,631,625,626,626,627,629,629,626,628,631,632,629,632,632,639,642,640,641,640
북도면장봉출장소,510,507,514,518,517,511,514,513,514,517,515,517,519,520,520,523,529,529,522,522,523,523,525,519,518,518,512,518,518,521,520,520,519,520,517,515
백령면,3003,3032,3044,3064,3095,3119,3147,3177,3162,3187,3203,3228,3244,3226,3203,3201,3231,3231,3220,3219,3226,3228,3244,3235,3217,3184,3146,3118,3096,3091,3096,3097,3100,3101,3101,3097
대청면,755,740,718,720,720,722,716,729,728,713,712,715,711,718,722,722,725,725,745,744,746,746,748,751,750,746,746,746,745,743,738,732,739,740,737,733
대청면소청출장소,168,160,158,162,161,161,167,165,166,165,160,161,163,164,162,160,163,163,169,169,169,169,171,168,169,168,171,172,170,169,170,167,166,164,164,158
덕적면,1146,1152,1154,1156,1154,1157,1166,1172,1167,1163,1158,1155,1160,1171,1170,1167,1177,1177,1176,1175,1178,1179,1182,1183,1182,1183,1180,1181,1180,1172,1167,1171,1170,1161,1162,1158
영흥면,3033,3028,3044,3060,3060,3081,3097,3108,3124,3143,3162,3159,3177,3181,3172,3184,3201,3201,3226,3225,3232,3235,3250,3259,3283,3285,3287,3293,3291,3291,3303,3319,3329,3334,3341,3337
자월면,678,683,679,685,691,696,704,707,710,709,710,708,711,719,709,703,717,717,728,727,729,730,734,738,736,738,738,748,744,743,743,744,741,735,734,726
연평면,1340,1349,1332,1334,1340,1339,1344,1356,1350,1351,1355,1372,1367,1370,1375,1379,1379,1379,1387,1387,1389,1391,1413,1406,1417,1409,1391,1381,1380,1377,1377,1376,1375,1386,1380,1382
합계,11245,11261,11251,11310,11351,11400,11473,11545,11536,11565,11588,11622,11661,11682,11648,11656,11753,11753,11798,11794,11818,11828,11896,11888,11898,11859,11802,11789,11753,11739,11746,11765,11781,11781,11777,11746
