행정구역,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2016.8,2016.9,2016.1,2016.11,2016.12,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2017.8,2017.9,2017.1,2017.11,2017.12,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2018.8,2018.9,2018.1,2018.11,2018.12
도원동,2168,2169,2183,2181,2180,2174,2161,2164,2147,2136,2142,2133,2135,2143,2142,2144,2143,2143,2133,2140,2154,2140,2141,2136,2127,2129,2117,2112,2122,2118,2116,2114,2120,2113,2108,2108
동인천동,3397,3423,3414,3405,3390,3384,3390,3383,3379,3377,3372,3364,3348,3363,3368,3363,3377,3377,3378,3392,3411,3412,3422,3403,3399,3386,3380,3407,3435,3453,3459,3442,3451,3454,3466,3460
북성동,1753,1748,1743,1738,1739,1737,1731,1721,1722,1732,1732,1735,1738,1732,1736,1734,1714,1714,1712,1719,1729,1726,1721,1707,1689,1688,1698,1691,1685,1684,1684,1682,1682,1687,1679,1675
송월동,2372,2363,2354,2339,2330,2322,2322,2327,2323,2315,2313,2309,2306,2305,2290,2289,2283,2283,2258,2267,2280,2254,2251,2241,2237,2229,2222,2217,2215,2207,2198,2192,2193,2188,2184,2186
신포동,2945,2960,2950,2955,2948,2937,2919,2908,2903,2907,2894,2896,2897,2913,2899,2893,2895,2895,2881,2893,2909,2895,2911,2909,2904,2884,2886,2878,2873,2877,2881,2889,2885,2858,2856,2841
신흥동,6456,6439,6463,6461,6451,6425,6377,6349,6321,6313,6313,6304,6289,6278,6269,6248,6254,6254,6222,6248,6283,6251,6216,6199,6183,6192,6178,6184,6214,6214,6228,6260,6266,6267,6258,6231
연안동,3653,3645,3657,3639,3634,3652,3627,3619,3615,3616,3620,3624,3618,3613,3607,3612,3610,3610,3594,3609,3629,3615,3608,3605,3602,3590,3598,3592,3585,3590,3594,3585,3582,3569,3559,3554
영종1동,8227,8203,8141,8165,8196,8264,8335,8394,8462,8533,8608,8663,8716,8782,8814,8847,8992,8992,9131,9168,9220,9361,9472,9572,9107,9157,9185,9226,9276,9289,9369,9549,9686,9892,10028,10148
영종동,5295,5325,5353,5384,5422,5484,5479,5509,5553,5599,5649,5685,5719,5762,5783,5805,5900,5900,5991,6015,6049,6142,6216,6282,6860,6974,7062,7125,7221,7306,7353,7361,7444,7596,7662,7722
용유동,2771,2760,2760,2762,2785,2764,2778,2781,2775,2776,2778,2787,2779,2763,2763,2766,2771,2771,2754,2766,2781,2766,2760,2759,2750,2742,2734,2733,2723,2720,2718,2704,2687,2678,2668,2672
운서동,10184,10250,10321,10351,10400,10471,10521,10587,10621,10630,10627,10675,10735,10804,10951,11017,11223,11223,11301,11346,11410,11490,11583,11702,11875,11970,12056,12132,12253,12308,12372,12466,12547,12700,13032,13328
율목동,2064,2050,2058,2064,2061,2055,2049,2038,2042,2050,2047,2043,2047,2063,2064,2051,2050,2050,2030,2038,2049,2030,2021,2010,2007,1999,2003,1984,1985,1980,1980,1964,1967,1973,1972,1962
합계,51285,51335,51397,51444,51536,51669,51689,51780,51863,51984,52095,52218,52327,52521,52686,52769,53212,53212,53385,53601,53904,54082,54322,54525,54740,54940,55119,55281,55587,55746,55952,56208,56510,56975,57472,57887
