행정구역,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2016.8,2016.9,2016.1.1,2016.11,2016.12,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2017.8,2017.9,2017.1.1,2017.11,2017.12,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2018.8,2018.9,2018.1.1,2018.11,2018.12
북도면,1195,1201,1198,1208,1212,1211,1221,1230,1227,1221,1213,1190,1189,1191,1202,1200,1219,1219,1197,1198,1198,1198,1201,1196,1188,1186,1194,1196,1185,1185,1183,1182,1183,1179,1180,1174
북도면장봉출장소,1045,1039,1044,1053,1054,1048,1048,1049,1054,1059,1054,1059,1059,1059,1063,1069,1076,1076,1070,1071,1073,1071,1067,1065,1065,1055,1045,1060,1057,1062,1061,1059,1057,1055,1052,1048
백령면,5460,5476,5505,5534,5568,5604,5636,5657,5654,5689,5697,5732,5744,5690,5650,5654,5694,5694,5696,5702,5708,5702,5728,5721,5690,5632,5599,5556,5530,5530,5528,5533,5522,5516,5509,5496
대청면,1403,1372,1356,1353,1353,1366,1351,1365,1368,1352,1349,1358,1346,1342,1332,1328,1344,1344,1370,1371,1373,1371,1368,1372,1368,1341,1340,1336,1327,1324,1310,1303,1309,1309,1303,1305
대청면소청출장소,267,253,248,255,255,255,261,259,261,260,256,253,252,253,251,249,253,253,261,261,262,261,264,259,257,252,254,253,251,251,248,246,242,238,236,229
덕적면,2039,2030,2027,2032,2036,2038,2044,2048,2041,2032,2016,2003,2014,2023,2026,2024,2032,2032,2036,2039,2040,2039,2047,2042,2024,2036,2029,2031,2026,2024,2018,2018,2010,1998,1993,1977
영흥면,6060,6058,6075,6091,6085,6105,6145,6163,6184,6196,6218,6206,6248,6225,6213,6238,6262,6262,6291,6299,6305,6299,6311,6323,6335,6322,6319,6320,6309,6318,6325,6337,6332,6329,6347,6329
자월면,1321,1316,1321,1331,1341,1340,1349,1350,1349,1350,1344,1341,1342,1345,1332,1322,1346,1346,1358,1360,1361,1360,1364,1363,1360,1359,1354,1360,1351,1347,1344,1351,1338,1315,1315,1302
연평면,2163,2170,2153,2154,2164,2165,2169,2190,2182,2185,2186,2209,2201,2195,2198,2204,2195,2195,2226,2229,2231,2229,2244,2232,2253,2223,2210,2196,2199,2192,2193,2182,2178,2185,2165,2176
합계,20953,20915,20927,21011,21068,21132,21224,21311,21320,21344,21333,21351,21395,21323,21267,21288,21421,21421,21505,21530,21551,21530,21594,21573,21540,21406,21344,21308,21235,21233,21210,21211,21171,21124,21100,21036
