구이름,동이름,초등학교개수,중학교개수,고등학교개수,합계
강화군,강화읍,4,2,3,9
강화군,선원면,1,0,0,1
강화군,불은면,2,0,0,2
강화군,길상면,1,1,1,3
강화군,화도면,1,1,0,2
강화군,양도면,2,1,1,4
강화군,내가면,1,0,1,2
강화군,하점면,2,1,0,3
강화군,양사면,1,0,0,1
강화군,송해면,1,0,0,1
강화군,교동면,3,1,1,5
강화군,삼산면,2,1,0,3
강화군,서도면,2,2,1,5
강화군,서도면볼음출장소,0,0,0,0
계양구,효성동,6,3,1,10
계양구,계산동,9,4,4,17
계양구,작전동,3,1,3,7
계양구,작전서운동,2,2,1,5
계양구,계양동,6,5,2,13
남동구,간석동,5,4,5,14
남동구,구월동,8,5,0,13
남동구,남촌도림동,2,0,1,3
남동구,논현동,10,5,6,21
남동구,논현고잔동,0,0,0,0
남동구,만수동,10,6,4,20
남동구,서창동,3,2,0,5
남동구,장수서창동,0,0,0,0
동구,만석동,0,0,0,0
동구,화수동,1,1,0,2
동구,송현동,1,0,0,1
동구,송림동,4,2,2,8
동구,금창동,2,0,1,3
부평구,부평동,6,4,2,12
부평구,산곡동,9,4,6,19
부평구,청천동,3,1,0,4
부평구,갈산동,3,1,1,5
부평구,삼산동,6,3,3,12
부평구,부개동,7,5,5,17
부평구,일신동,2,0,0,2
부평구,십정동,6,3,2,11
서구,가정동,3,0,1,4
서구,가좌동,5,4,2,11
서구,검단동,3,1,2,6
서구,불로대곡동,2,1,0,3
서구,원당동,1,1,1,3
서구,당하동,6,2,1,9
서구,오류왕길동,2,0,0,2
서구,검암경서동,4,3,3,10
서구,석남동,4,2,1,7
서구,신현원창동,3,3,1,7
서구,연희동,6,3,4,13
서구,청라동,5,2,2,9
연수구,옥련동,4,3,3,10
연수구,선학동,1,1,0,2
연수구,연수동,5,3,3,11
연수구,청학동,1,2,1,4
연수구,동춘동,6,3,3,12
연수구,송도동,11,5,6,22
옹진군,북도면,2,0,0,2
옹진군,북도면장봉출장소,0,0,0,0
옹진군,백령면,2,1,1,4
옹진군,대청면,2,1,1,4
옹진군,대청면소청출장소,0,0,0,0
옹진군,덕적면,1,1,1,3
옹진군,영흥면,1,1,1,3
옹진군,자월면,3,0,0,3
옹진군,연평면,1,1,1,3
중구,도원동,0,1,2,3
중구,동인천동,1,0,2,3
중구,북성동,0,0,1,1
중구,송월동,0,0,0,0
중구,신포동,2,2,2,6
중구,신흥동,2,2,0,4
중구,연안동,1,0,0,1
중구,영종동,4,1,1,6
중구,용유동,2,1,0,3
중구,운서동,3,1,5,9
중구,율목동,0,0,1,1
미추홀구,숭의동,2,1,0,3
미추홀구,용현동,4,2,2,8
미추홀구,학익동,5,2,3,10
미추홀구,도화동,3,3,6,12
미추홀구,주안동,6,1,2,9
미추홀구,관교동,2,3,1,6
미추홀구,문학동,1,0,1,2
