구군별,학교명,주소,우편번호
남구,인천경원초등학교,남구 경인로 511 (주안동),22144
남구,인천관교초등학교,남구 인하로 414 (관교동 334),22240
남구,인천남부초등학교,남구 인주대로 366번길 22 (주안7동 1444),22214
남구,인천대화초등학교,남구 석정로 301번길 13 (도화동 105-11),22116
남구,인천도화초등학교,남구 경인로 242 (도화동 541-5),22165
남구,인천문학초등학교,남구 매소홀로 553 (262-2),22233
남구,인천백학초등학교,남구 매소홀로 446번길 25 (학익동 674),22226
남구,인천서화초등학교,남구 송림로 250 (도화3동 47-30),22114
남구,인천석암초등학교,남구 주안동로 46 (주안6동 55-1),22134
남구,인천숭의초등학교,남구 장천로 99 (숭의4동 42-2),22163
남구,인천승학초등학교,남구 주승로 259(관교동 13-4),22241
남구,인천연학초등학교,남구 주승로 20 (학익2동 산29),22222
남구,인천용일초등학교,남구 인주대로 244 (용현1동 74번지),22208
남구,인천용정초등학교,남구 독정안길 26 (숭의동 12-8번지),22168
남구,인천용현남초등학교,남구 매소홀로 133 (용현5동 627-449),22189
남구,인천용현초등학교,남구 낙섬동로 83 (용현동 610-108),22187
남구,인천인주초등학교,남구 매소홀로 475번길 53 (학익2동 40번지),22222
남구,인천주안남초등학교,남구 인주대로434번길 11 (주안동 1503),22228
남구,인천주안북초등학교,남구 석정로 375번길 14 (주안5동 4-1번지),22126
남구,인천주안초등학교,   남구 남주길 69번길 16(주안동),22156
남구,인천학산초등학교,남구 한나루로357번길 66 (학익동721-7),22203
남구,인천학익초등학교,남구 한나루로 403번길 122 (학익동 330-1),22211
남구,인천용학초등학교,남구 용정공원로 83번길 9 (용현동 664-4번지),22188
동구,인천만석초등학교,동구 제물량로 412(화수2동 21-2),22511
동구,인천서림초등학교,동구 금곡로 105 (송림5동 61-11),22558
동구,인천서흥초등학교,동구 샛골로 189 (송림동34-1),22540
동구,인천송림초등학교,동구 배송로 2 (송림1동 235-1),22553
동구,인천송현초등학교,동구 송화로 45 (송현동 66-21),22521
동구,인천창영초등학교,동구 우각로 15번길 16 (창영동 30),22564
동구,영화초등학교,동구 우각로 39 (창영동 36),22564
동구,인천동명초등학교,동구 송림로 70번길 10 (송림동 114),22555
옹진군,대청초등학교,옹진군 대청면 대청로 244번길 110 (대청리 1085),23106
옹진군,대청초등학교 소청분교장,옹진군 대청면 소청동로 69-13 (소청리 454-1),23106
옹진군,덕적초등학교,옹진군 덕적면 덕적남로 15 (덕적면 진리 136),23130
옹진군,백령초등학교,옹진군 백령면 백령로 316번길 91 (진촌리 1047),23101
옹진군,북포초등학교,옹진군 백령면 가을길 117 (가을1리 1번지),23103
옹진군,연평초등학교,옹진군 연평면 연평로137번길 101 (연평리 437-1),23108
옹진군,영흥초등학교,옹진군 영흥로 440-8 (영흥면 내4리 237),23119
옹진군,인천공항초등학교 신도분교장,옹진군 북도면 신도로 896번길 18-31 (신도리 475-1번지),23115
옹진군,인천남부초등학교 이작분교장,옹진군 자월면 대이작로 60 (이작리 569),23128
옹진군,인천삼목초등학교 장봉분교장,옹진군 북도면 장봉로 553 (장봉리1040번지),23111
옹진군,인천용현남초등학교 자월분교장,옹진군 자월면 자월서로 177 (자월리 1116-2),23125
옹진군,인천주안남초등학교 승봉분교장,옹진군 자월면 승봉로 67번길 43-18(승봉리 712),23127
중구,인천공항초등학교,중구 신도시남로43 (운서동 2788-1),22370
중구,인천삼목초등학교,중구 신도시북로 42 (운서동 2708-2),22365
중구,인천송월초등학교,중구 자유공원로 106-8 (전동 25-37),22309
중구,인천신광초등학교,중구 인중로 63 (신흥동3가),22330
중구,인천신선초등학교,중구 축항대로 291번길 33 (신흥동3가 31-8),22334
중구,인천신흥초등학교,중구 제물량로 134 (답동 6),22321
중구,인천연안초등학교,중구 연안부두로 33번길 53 (중구 항동7가 27-74),22348
중구,인천영종초등학교,중구 하늘달빛로 133 (중산동 1871-2),22406
중구,인천영종초등학교 금산분교장,중구 백운로 414번길 63-50 (운북동 453-1),22356
중구,인천용유초등학교,중구 남북로 87번길 4 (남북동584-2),22384
중구,인천용유초등학교 무의분교장,중구 대무의로 302-17 (무의동 248-3),22387
중구,인천운서초등학교,중구 운서2로 57 (운서동 15번지),22374
중구,인천운남초등학교,중구 운남서로 38 (운남동 747),22372
중구,인천하늘초등학교,중구 은하수로 294 (중산동 1880-3),22390
중구,인성초등학교,중구 신포로 39번길 42 (송학동2가 18-1),22315
남동구,인천만수초등학교,남동구 소래로 652 (만수6동 1074),21591
남동구,인천구월초등학교,남동구 인주대로 721번길 49 (구월동 1226-1),21563
남동구,인천간석초등학교,남동구 석산로 208번길 37 (구월2동 6-1),21547
남동구,인천도림초등학교,남동구 논고개로 334번길 21 (도림동 629-2),21656
남동구,인천주원초등학교,남동구 주안로 259번길 28 (간석4동 379-1),21506
남동구,인천동부초등학교,남동구 만수서로 33번길 25 (만수3동 111-5),21523
남동구,인천석천초등학교,남동구 남동대로 828 (구월2동 21),21561
남동구,인천구월서초등학교,남동구 문화서로 77번길 14 (구월3동 1099),21560
남동구,인천만수북초등학교,남동구 백범로 180번길 25 (만수동 867-18),21524
남동구,인천약산초등학교,남동구 간석로 26번길 10 (간석동 104-1),21510
남동구,인천조동초등학교,남동구 백범로124번길 164 (만수동 11),21522
남동구,상인천초등학교,남동구 석산로 141번길 29 (간석1동 304),21550
남동구,인천인수초등학교,남동구 인수로 3 (만수동 47),21528
남동구,인천만월초등학교,남동구 선수촌로28(구월1동 729-8),21586
남동구,인천석정초등학교,남동구 석정로 539번길 32 (간석동 614-5),21503
남동구,인천장수초등학교,남동구 담방로 121 (만수동 1005-2),21541
남동구,인천남동초등학교,남동구 장승남로 33번길 10 (만수6동 1017) ,21594
남동구,인천담방초등학교,남동구 매소홀로 1027 (만수동 1046),21596
남동구,인천성리초등학교,남동구 성리로 32-2 (구월1동 446-1),21581
남동구,인천논곡초등학교,남동구 함박뫼로 429 (논현동 563-3),21637
남동구,인천인동초등학교,남동구 백범로 248번길 38 (만수3동 846),21518
남동구,인천소래초등학교,남동구 장도로 2 (논현동 109-85),21669
남동구,인천남촌초등학교,남동구 남촌로 101 (남촌동 554),21627
남동구,인천신월초등학교,남동구 인주대로 776번길 14 (구월동 609-1),21588
남동구,인천새말초등학교,남동구 만수로 50번길 12 (만수동 26),21525
남동구,인천서창초등학교,남동구 장아산로 174번길 8 (서창동560-6),21605
남동구,인천장도초등학교,남동구 포구로 112 (논현동 600-2),21662
남동구,인천동방초등학교,남동구 논현역로 31 (논현동 633-8),21651
남동구,인천논현초등학교,남동구 소래역로 102 (논현동 602-2),21664
남동구,인천은봉초등학교,남동구 은봉로 312번길 11 (논현동 605-1),21659
남동구,인천정각초등학교,남동구 구월로 228 (구월2동 24-2) ,21562
남동구,인천상아초등학교,남동구 석산로 184번길 66 (간석동 939-4),21548
남동구,인천고잔초등학교,남동구 아암대로 1503번길 48(논현동 11번지),21685
남동구,인천원동초등학교,남동구 논고개로 38 (논현동 755-2),21675
남동구,인천사리울초등학교,남동구 아암대로 1437번길 50 (논현동 767-3)  ,21684
남동구,인천송천초등학교,남동구 앵고개로 815번길 45 (논현동 738-5),21687
남동구,인천한빛초등학교,남동구 서창남순환로 190-28 (서창동 633-1),21616
남동구,인천장서초등학교,남동구 서창남순환로 109(서창동),21614
연수구,인천송도초등학교,연수구 비류대로 214번길 21 (옥련동 326),21939
연수구,인천중앙초등학교,연수구 새말로 153 (연수동 579-1),21933
연수구,인천동춘초등학교,연수구 앵고개로 224 (동춘1동 938-1),21969
연수구,인천연수초등학교,연수구 원인재로 324 (연수3동 532-1),21937
연수구,인천선학초등학교,연수구 선학로 67 (선학동 358) ,21910
연수구,인천문남초등학교,연수구 먼우금로 273 (연수1동 541-1),21923
연수구,인천연성초등학교,연수구 원인재로 116 (동춘동 925-1),21974
연수구,인천동막초등학교,연수구 원인재로 36 (동춘2동 928-1),21976
연수구,인천청학초등학교,연수구 함박뫼로 25 (청학동 465),21915
연수구,인천연화초등학교,연수구 원인재로 150번 (연수2동 635-1),21931
연수구,인천청량초등학교,연수구 먼우금로 158 (동춘동 923-3),21967
연수구,인천옥련초등학교,연수구 한진로 30 (옥련동 232),21950
연수구,인천서면초등학교,연수구 먼우금로 54 (동춘동 932-4),21973
연수구,인천능허대초등학교,연수구 한진로 12 (옥련동 442-1) ,21952
연수구,인천함박초등학교,연수구 함박뫼로 87 (연수1동 535),21922
연수구,인천축현초등학교,연수구 청량로 176 (옥련동 405-5),21941
연수구,인천먼우금초등학교,연수구 해돋이로 84번길 33 (송도동 3-12),21996
연수구,인천신송초등학교,연수구 해돋이로 56번길 28 (송도동 3-42),21996
연수구,인천해송초등학교,연수구 인천타워대로54번길 46 (송도동 9-27),22000
연수구,인천신정초등학교,연수구 아트센터대로 97번길 72 (송도동18-8),22002
연수구,인천명선초등학교,연수구 컨벤시아대로 42번길 64 (송도동 15-5),22001
연수구,인천송원초등학교,연수구 송도과학로 51번길 60 (송도동 162-2),21983
연수구,인천송명초등학교,연수구 송도교육로 19 (송도동 191-5),21986
연수구,인천송일초등학교,연수구 컨벤시아대로252번길 15,22009
연수구,인천연송초등학교,연수구 해돋이로 248 (송도동 18-4),22002
연수구,인천예송초등학교,연수구 컨벤시아 대로 252번길 75,22009
연수구,인천첨단초등학교,연수구 송도교육로 20(송도동 192-3),21986
연수구,인천박문초등학교,연수구 봉재산로 138-22(동춘동 517-2),23019
부평구,인천갈산초등학교,부평구 갈월동로 55 (갈산2동 360-1),21331
부평구,인천갈월초등학교,부평구 주부토로 165 (갈산동 373),21335
부평구,인천개흥초등학교,부평구 길주남로 65번길 11(부평동 905),21355
부평구,인천구산초등학교,부평구 부개로 93 (부개3동 496-5),21345
부평구,인천굴포초등학교,부평구 충선로 234번길 19 (삼산동 454-1),21341
부평구,인천금마초등학교,부평구 일신로 88 (구산동 357),21457
부평구,인천대정초등학교,부평구 안남로 115 (산곡동 311-150),21381
부평구,인천동수초등학교,부평구 동수로 120번길 10 (부개동 442-23),21458
부평구,인천동암초등학교,부평구 동암남로 35번길 4 (십정동 501),21438
부평구,인천마곡초등학교,부평구 마곡27번길 16 (산곡동 68),21307
부평구,인천마장초등학교,부평구 안남로 266번길(336-10번지),21363
부평구,인천미산초등학교,부평구 원적로 391 (산곡4동 128-60),21363
부평구,인천백운초등학교,부평구 아트센터로 130 (십정동 541-31),21434
부평구,인천부개서초등학교,부평구 부일로 39 (부개동 155-1),21401
부평구,인천부개초등학교,부평구 마분로 9 (부개1동 356),21420
부평구,인천부곡초등학교,부평구 마장로 272번길 73 (산곡2동 148-5) ,21376
부평구,인천부광초등학교,부평구 충선로 104 (부개3동 69-6),21349
부평구,인천부내초등학교,부평구 수변로 129 (부개3동 501-12),21350
부평구,인천부마초등학교,부평구 안남로 253번길 41 (산곡동 100-87),21362
부평구,인천부원초등학교,부평구 원적로 472번길 29 (부평동 65-16),21378
부평구,인천부일초등학교,부평구 부흥북로 175 (부개동 499-85),21347
부평구,인천부평남초등학교,부평구 경인로 911번길 26 (부평동 743-1),21408
부평구,인천부평동초등학교,부평구 부평대로 88번길 19 (부평동 440-1),21359
부평구,인천부평북초등학교,부평구 주부토로 292 (갈산동 10-1),21317
부평구,인천부평서초등학교,부평구 부평문화로 53번길 19 (부평동 542-18),21388
부평구,인천부흥초등학교,부평구 부흥로 366번길 34 (부평동 171),21397
부평구,인천산곡남초등학교,부평구 부흥로 144번길 30 (산곡동 231-1),21380
부평구,인천산곡북초등학교,부평구 산청로 18 (산곡동 39-1),21309
부평구,인천산곡초등학교,부평구 길주로 354번길 39 (산곡1동 87-236),21369
부평구,인천삼산초등학교,부평구 후정동로 44 (삼산동 58-2),21318
부평구,인천상정초등학교,부평구 상정로 50 (십정1동 198),21442
부평구,인천신촌초등학교,부평구 경원대로 1215 (십정동 186),21375
부평구,인천십정초등학교,부평구 배곶북로 10-6 (십정동 298-1),21451
부평구,인천영선초등학교,부평구 충선로 293 (삼산동 438-7),21323
부평구,인천용마초등학교,부평구 세월천로 30번길 58 (청천동 176-4),21312
부평구,인천일신초등학교,부평구 항동로 75번길 36 (일신동 112-3),21422
부평구,인천진산초등학교,부평구 굴포로 194-10 (삼산동 456-1),21342
부평구,인천청천초등학교,부평구 산청로 127번길 12-5 (청천1동 34-6),21303
부평구,인천하정초등학교,부평구 이규보로 14 (십정동 393),21444
부평구,인천한길초등학교,부평구 영성중로 32 (삼산동 393-1),21321
부평구,인천후정초등학교,부평구 영성서로 56 (삼산동 390-1),21319
부평구,한일초등학교,부평구 산곡동 원적로 247(산곡1동 179-79),21368
서구,인천가림초등학교,서구 장고개로 293번길 29 (가좌동 231),22820
서구,인천가석초등학교,서구 서달로 174 (가정동 430-37),22799
서구,인천가정초등학교,서구 장고개로 336-1 (가좌동 395-4),22811
서구,인천가좌초등학교,서구 장고개로 309번길 5 (가좌동 30-87),22815
서구,인천가현초등학교,서구 염곡로 417 (신현동 2-103),22779
서구,인천간재울초등학교,서구 승학로 433 (검암동 629-3),22697
서구,인천건지초등학교,서구 건지로 318번길 39 (가좌동 200),22816
서구,인천검단초등학교,서구 마전로 115번길 24 (마전동 147-1),22601
서구,인천검암초등학교,서구 승학로 599번길 45 (검암동 495),22704
서구,인천경서초등학교,서구 경서로 31번길 31 (경서동 741),22692
서구,인천금곡초등학교,서구 완정로 228번길 19 (금곡동 133-2),22613
서구,인천능내초등학교,서구 검단로 540번길 23 (마전동 산119-1),22633
서구,인천단봉초등학교,서구 단봉로 122 (오류동 724-2),22651
서구,인천당하초등학교,서구 청마로 144 (당하동 910-7),22678
서구,인천마전초등학교,서구 완정로 34번길 23 (마전동 999-12),22640
서구,인천목향초등학교,서구 고산후로 377 (불로동 306-27),22628
서구,인천발산초등학교,서구 고산후로 78번길 6 (당하동 1038-1),22683
서구,인천백석초등학교,서구 청마로 55 (당하동 1084-1),22675
