구군별,설립별,학교명,주소,우편번호
강화군,공립,교동고등학교,강화군 교동면 교동남로 77(대룡리723-7),23002
강화군,공립,서도고등학교,강화군 서도면 주문도길 173(주문도리 53번지),23008
강화군,공립,강화여자고등학교,강화군 강화읍 송악길58 (강화읍 관청리 987),23029
강화군,공립,강화고등학교,강화군 강화읍 고비고개로 20 (국화리 165),23028
강화군,공립,강남영상미디어고등학교,강화군 길상면 강화남로 57 (온수리 409-4),23050
강화군,사립,덕신고등학교,강화군 강화읍 고비고개로 45 (국화리 243),23028
강화군,사립,삼량고등학교,강화군 내가면 강화서로 184 (고천리 1266),23018
강화군,사립,산마을고등학교,강화군 양도면 강화남로 1002번길 73-29 (삼흥리 460)  ,23056
계양구,공립,서운고등학교,계양구 아나지로 481 (작전서운동 55-42번지 ),21074
계양구,공립,안남고등학교,계양구 아나지로 308번길 9 (작전동 392-10),21122
계양구,공립,인천효성고등학교,계양구 새벌로 171번길 21 (효성동 13-1),21096
계양구,공립,계산고등학교,계양구 주부토로 588 (계산동 907),21030
계양구,공립,계양고등학교,계양구 계양문화로 177 (계산4동),21062
계양구,공립,작전고등학교,계양구 봉오대로 729번길 27 (작전동 90),21085
계양구,공립,계산여자고등학교,계양구 계산새로 131 (계산4동 228-2),21063
계양구,공립,인천세원고등학교,계양구 장제로966 (계양2동5-5),21028
계양구,공립,작전여자고등학교,계양구 주부토로 426번길 15 (작전동 92),21085
계양구,공립,인천예일고등학교,계양구 박촌로23 (계양1동 27-1),21021
계양구,공립,계산공업고등학교,계양구 도두리로 47 (계산4동 1084-6),21070
남구,공립,선인고등학교,남구 석정로 165 (도화동 206-1),22100
남구,공립,인천고등학교,남구 경원대로 804 (주안4동 1555번지),22147
남구,공립,학익고등학교,남구 한나루로 358번길 23-22(학익동 666-1),22225
남구,공립,인화여자고등학교,남구 석정로 165 (도화동 235),22100
남구,공립,학익여자고등학교,남구 주승로 52번길 8 (학익동 646번지),22222
남구,공립,인천전자마이스터고등학교,남구 석정로 165 (도화동 235),22100
남구,공립,도화기계공업고등학교,남구 석정로 165 (도화동 193-6),22100
남구,공립,인천기계공업고등학교,남구 한나루로 545 (주안2동 625-2),22152
남구,공립,인천하이텍고등학교,남구 석정로 165 (도화동 20-6),22100
남구,공립,문학정보고등학교,남구 소성로 350번길 29 (문학동 394-4),22238
남구,공립,인천비즈니스고등학교,남구 장고개로 31 (도화동 43-24),22115
남구,사립,인하대학교사범대학부속고등학교,남구 재넘이길 123번길 29 (학익동306),22211
남구,사립,인항고등학교,남구 매소홀로 135 (용현5동 627-456),22189
남구,사립,인명여자고등학교,남구 문화로 11 (관교동 13-5),22241
남구,사립,정석항공과학고등학교,남구 인하로 100 (용현4동 253),22212
남동구,공립,도림고등학교,남동구 비류대로 762번길 10 (남촌도림동 562-3) ,21646
남동구,공립,인천남고등학교,남동구 석정로 551번길 41 (간석4동 614-12),21503
남동구,공립,인천남동고등학교,남동구 은봉로 283 (논현동 588-1),21648
남동구,공립,인천만수고등학교,남동구 장승로 91번지 (만수6동 605-5),21592
남동구,공립,인천송천고등학교,남동구 앵고개로 815번길 59 (논현동 738-4),21679
남동구,공립,석정여자고등학교,남동구 방축로 469번길 27 (간석동 614-11),21503
남동구,공립,인천고잔고등학교,남동구 에코중앙로 117 (논현동 762-1),21681
남동구,공립,인천논현고등학교,남동구 청능대로 611번길 54 (논현동 604-2),21665
남동구,공립,동인천고등학교,남동구 만수로 75번길 71-15 (만수2동 5-394),21521
남동구,공립,미추홀외국어고등학교,남동구 에코중앙로 130 (논현동 733-130번지),21684
남동구,공립,인천예술고등학교,남동구 구월로 115번길 36 (간석동 417-3),21551
남동구,사립,인제고등학교,남동구 석산로 197번길 19 (간석동 136-1),21545
남동구,사립,문일여자고등학교,남동구 구월로 372번길 98 (만수동 977-25),21539
남동구,사립,신명여자고등학교,남동구 용천로 205번길 42 (간석동 26),21509
남동구,사립,숭덕여자고등학교,남동구 만수로73번길 20-23 (만수2동 5-213),21521
남동구,사립,인천금융고등학교, 인천광역시 남동구 논현동 580-2번지,21539
동구,사립,동산고등학교,동구 동산로 58 (송림5동 97),22559
동구,사립,재능고등학교,동구 재능로 178 (송림동 122-1),22573
동구,사립,영화관광경영고등학교,동구 우각로 39 (금창동 36),22564
부평구,공립,삼산고등학교,부평구 영성중로 54 (삼산동 391-2),21319
부평구,공립,부개고등학교,부평구 수변로 571번길 36 (부개동 120-546),21401
부평구,공립,인천부흥고등학교,부평구 수변로 57번길 61 (부개동 120-547),21401
