구군별,학교명,주소,우편번호
남구,관교여자중학교,남구 경원대로 691(관교동 512번지),22232
남구,관교중학교,남구 경원대로 670번길 19(관교동 482번지),22240
남구,남인천여자중학교,남구 인하로 426(관교동 335),22240
남구,선인중학교,남구 석정로 165 (도화동 235번지),22100
남구,선화여자중학교,남구 석정로 165(남구 도화동 235),22100
남구,용현여자중학교,남구 낙섬동로 28(용현5동 627-38),22189
남구,용현중학교,남구 낙섬동로 16(용현5동 627-435번지),22189
남구,인주중학교,남구 매소홀로 335(학익동 430-51),22202
남구,인천남중학교,남구 수봉로 16-23(숭의동 41-3번지),22163
남구,인화여자중학교,남구 석정로 165 (도화동 235번지),22100
남구,제물포여자중학교,남구 인주대로 470번길 20(주안동 1529),22228
남구,인하대학교사범대학부속중학교,남구 재넘이길 123번길 29(학익2동 306-30),22211
동구,화도진중학교,동구 화수로 64 (화수동 2-5),22513
동구,동산중학교,동구 동산로 58(송림동 97-1번지),22559
동구,재능중학교,동구 재능로 178(송림동 122-1),22573
옹진군,대청중학교,옹진군 대청면 대청로 244번길 116-45(대청리 1143-2),23105
옹진군,덕적중학교,옹진군 덕적면 덕적남로 15(진리 136번지),23130
옹진군,백령중학교,옹진군 백령면 백령로 708(북포리 255),23103
옹진군,연평중학교,옹진군 연평로 137번길 101(연평리 437-1),23108
옹진군,영흥중학교,옹진군 영흥면 내동로 107번지(내리 496-95),23118
중구,신흥여자중학교,중구 인항로 24번길 37(신흥동 3가 7-210),22333
중구,신흥중학교,중구 인항로 24번길 38(신흥동 3가 7-338),22333
중구,영종중학교,중구 남디로 92(영종동 1655-12),22373
중구,용유중학교,중구 남북로 87번길 4(용유동 584-2),22384
중구,인천공항중학교,중구 영종대로27번길 49(중구 운서동 2747-8번지),22368
중구,광성중학교,중구 참외전로 244번길 47(도원동 12-73),22327
중구,송도중학교,중구 제물량로 123(신포동 40번지),22324
중구,인성여자중학교,중구 홍예문로 39(신포동 18),22315
부평구,갈산중학교,부평구 주부토로 166(갈산동 372번지),21336
부평구,구산중학교,부평구 수변로 199(부개동 497-4),21346
부평구,동암중학교,부평구 동암산로 43번길 12(십정동 589),21436
부평구,부광중학교,부평구 충선로 140(부개3동 22-1),21348
부평구,부원여자중학교,부평구 부영로 88(부평동 70-128),21387
부평구,부원중학교,부평구 경원대로 1339(부평1동 70-131),21387
부평구,부일여자중학교,부평구 동수로 8(부평동 677),21429
부평구,부일중학교,부평구 영성로 3(삼산동 388-5),21319
부평구,부평동중학교,부평구 수변로 107번길 4(부개동 120-6),21398
부평구,부평서여자중학교,부평구 경원대로 1213(십정동 186-519),21375
부평구,부평서중학교,부평구 화랑로 29(산곡동 310-23번지),21375
부평구,부평여자중학교,부평구 부평문화로 193-1(부개2동 120-21번지),21398
부평구,부평중학교,부평구 부흥북로 57번길 10(부평동 136-33),21356
부평구,부흥중학교,부평구 충선로 152(부개3동 13-73 ),21348
부평구,산곡남중학교,부평구 안남로 187(산곡2동 261-4),21376
부평구,산곡여자중학교,부평구 마장로 204번길 37(산곡동 235-4),21380
부평구,산곡중학교,부평구 원적로 300번길 14(산곡1동 180-356),21371
부평구,삼산중학교,부평구 충선로 308(삼산동 445-1번지),21324
부평구,인천상정중학교,부평구 경원대로 1083(십정동128-4번지),21447
부평구,진산중학교,부평구 충선로 234번길 70(삼산동 454-11번지),21341
부평구,청천중학교,부평구 마장로 364번길 23(청천동 190-58),21313
남동구,간석여자중학교, 남동구 간석로 25번길 13 (간석3동 80-1),21510
남동구,구월여자중학교,남동구 성말로 13번길 78(구월1동 1409-1),21570
남동구,구월중학교,남동구 남동대로 814(구월동 22번지),21561
남동구,남동중학교,남동구 담방로 7(만수6동 1047번지),21596
남동구,논곡중학교,남동구 논곡로 84(논현동 553-21),21636
남동구,동인천중학교,남동구 구월남로 57번길12(구월동 1089-1),21553
남동구,만성중학교,남동구 인주대로 899(만수동 1005-6),21541
남동구,만수북중학교,남동구 만수서로 117(만수4동 10번지),21522
남동구,만수여자중학교,남동구 만수로 50번길 22-36(만수4동 27),21525
남동구,만수중학교,남동구 인수로 13(만수동 48번지),21528
남동구,만월중학교,남동구 서창남순환로 22(서창동 658번지),21610
남동구,상인천여자중학교,남동구 문화로 169번길 30(간석1동 505-11),21553
남동구,상인천중학교,남동구 백범로 297번길 21(간석3동 11-1),21546
남동구,인천서창중학교,남동구 독곡로 60번길 16(서창동 543-7번지),21604
남동구,석정중학교,남동구 방축로 469번길 1(간석4동 614번지),21503
남동구,인천고잔중학교,남동구 논고개로 20 (논현동 755-3),21676
남동구,인천논현중학교,남동구 포구로 118(논현동 600-3번지),21662
남동구,인천동방중학교,남동구 논현로 41(논현동 633-7),21651
남동구,인천사리울중학교,남동구 에코중앙로 84번길 12(논현동 765-2),21683
남동구,인천성리중학교,남동구 성리로 26(구월동 451번지),21581
남동구,인천정각중학교,남동구 구월로 240(구월동 24-4번지),21562
남동구,숭덕여자중학교,남동구 만수로 73번길 20-23(만수동 5-213),21521
연수구,능허대중학교,연수구 옥골로 69(옥련동 93),21900
연수구,선학중학교,연수구 선학로 19 (선학동 344번지),21938
연수구,신송중학교,연수구 해돋이로 56번길 12(송도동 3-43),21996
연수구,연성중학교,연수구 원인재로 105(동춘동 923-7),21967
연수구,연수중학교,연수구 원인재로 231(연수3동 579-2),21933
연수구,연화중학교,연수구 용담로 156(연수동 632번지),21930
연수구,옥련중학교,연수구 청량로 222(옥련동 275번지2),21954
연수구,인송중학교,연수구 능허대로 79번길 55(옥련동 194-28번지),21956
연수구,인천신정중학교,연수구 컨벤시아대로 42번길 80(송도동 15-3번지),22001
연수구,인천여자중학교,연수구 원인재로 47 (동춘동 932-1번지),21973
연수구,인천중학교,연수구 함박뫼로 203(연수3동 534-4),21936
연수구,인천해송중학교,연수구 해송로 148(송도동 9-28),22000
연수구,청량중학교,연수구 먼우금로 138(동춘동 924-1),21968
연수구,청학중학교,연수구 함박뫼로 5(청학동 464),21915
연수구,함박중학교,연수구 솔샘로 143(청학동 109-1),21940
연수구,인천예송중학교,연수구 아카데미로 212(송도동 114-1),22009
연수구,박문중학교,연수구 송도과학로51번길 102(송도동 161-1),21982
계양구,계산여자중학교,계양구 장제로 755번길 16(계산동 292),21083
계양구,계산중학교,계양구 도두리로 67-16(계산동 1085-4),21071
계양구,계양중학교,계양구 장제로 1181번길 9(계양1동 430),21015
계양구,명현중학교,계양구 안남로 554번길 26(효성동 20번지),21096
계양구,북인천여자중학교,계양구 아나지로 85번길 12(계양구 효성동 551번지),21104
계양구,북인천중학교,계양구 계산로 22번길 6(계산동 765),21043
계양구,서운중학교,계양구 아나지로 467(작전서운동 55-146),21074
계양구,인천계수중학교,계양구 살라리로 2번길 25(작전서운동 109-2),21072
계양구,인천동양중학교,계양구 당미길 56(계양3동 587),21011
계양구,인천안남중학교,계양구 계산새로 33번길 5(계산동 337-30번지),21058
계양구,인천양촌중학교,계양구 장제로 948번길 13(계양2동 12),21028
계양구,인천예일중학교,계양구 장제로 995번길 39(계양2동 27-8),21021
계양구,인천효성중학교,계양구 안남로 607(효성1동 28-43),21093
계양구,임학중학교,계양구 장제로 894(계양2동 432-2),21035
계양구,작전중학교,계양구 주부토로 448번길 16(작전동 85번지),21085
서구,가정여자중학교,서구 고래울로 28번길 13(가좌4동 343),22822
서구,인천가좌여자중학교,서구 서달로 110(석남동 115번지),22801
서구,가좌중학교,서구 건지로 334번길 31(가좌3동 195번지),22816
서구,간재울중학교,서구 승학로 512번길 34(검암경서동 619-4),22696
서구,검단중학교,서구 완정로 188번길 12(검단동 908-2),22617
서구,검암중학교,서구 검암로 29번길 12(검암경서동 497),22704
서구,동인천여자중학교,서구 여우재로 112번길 13(가좌4동 402번지),22811
서구,마전중학교,서구 완정로 91(당하동 645-1번지),22638
서구,백석중학교,서구 서곶로 695(검암경서동 65-3),22687
서구,불로중학교,서구 고산후로 363(불로대곡동 306-22),22628
서구,서곶중학교,서구 대평로 56번길 22(연희동 734-2),22718
서구,신현여자중학교,서구 새오개로 111번길 15(신현원창동 212-21),22779
서구,신현중학교,서구 원창로 131번길 23(신현원창동 212-11),22779
서구,원당중학교,서구 고산로 40번길 22(원당동 852-2),22625
서구,인천가현중학교,서구 염곡로 409(신현원창동 213-72),22779
서구,인천당하중학교,서구 청마로 38(당하동 1076-1),22674
서구,인천석남중학교,서구 건지로 333(석남동 329-7),22805
서구,인천청라중학교,서구 청라라임로 112(연희동 771-4번지),22735
서구,인천초은중학교,서구 청라라임로 10(연희동 809-1번지),22740
서구,인천해원중학교,서구 청라한내로 21(청라3동 975-3번지),22765
서구,제물포중학교,서구 여우재로 112번길 7(가좌동 401),22811
서구,인천청람중학교,서구 청라커낼로 335(청라2동 846-5),22748
강화군,강남중학교,강화군 길상면 강화남로 62-2(온수리 24-10),23050
강화군,강서중학교,강화군 하점면 강화서로 909-19(이강리 389),23015
강화군,강화여자중학교,강화군 강화읍 향교길 62(관청리 938),23029
강화군,강화중학교,강화군 강화읍 동문로 53(관청리 36),23030
강화군,교동중학교,강화군 교동면 교동남로 77(대룡리 723-7),23002
강화군,서도중학교,강화군 서도면 주문도길 173(주문도리 53번지),23008
강화군,서도중학교볼음분교,강화군 서도면 볼음도길 256(볼음도리 698-1),23010
강화군,심도중학교,강화군 화도면 마니산로 703-20(상방리 845-1),20360
강화군,동광중학교,강화군 양도면 강화남로 704(하일리 193),23057
강화군,삼산승영중학교,강화군 삼산면 삼산북로 473번길 47(석모리 302),23005
