"","지.역","X","X.1","X2016년.12월","X.2","X2017년.01월","X.3","X2017년.02월","X.4","X2017년.03월","X.5","X2017년.04월","X.6","X2017년.05월","X.7","X2017년.06월","X.8","X2017년.07월","X.9","X2017년.08월","X.10","X2017년.09월","X.11","X2017년.10월","X.12","X2017년.11월","X.13","X2017년.12월","X.14","X2018년.01월","X.15","X2018년.02월","X.16","X2018년.03월","X.17","X2018년.04월","X.18","X2018년.05월","X.19","X2018년.06월","X.20","X2018년.07월","X.21","X2018년.08월","X.22","X2018년.09월","X.23","X2018년.10월","X.24","X2018년.11월","X.25","X2018년.12월","X.26"
"1","","","","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계"
"2","인천광역시","","","0.129","1.737","0.125","0.125","0.254","0.38","0.294","0.674","0.212","0.888","0.265","1.156","0.291","1.45","0.332","1.787","0.287","2.078","0.28","2.364","0.251","2.621","0.224","2.85","0.241","3.098","0.206","0.206","0.191","0.398","0.247","0.646","0.238","0.885","0.275","1.162","0.302","1.468","0.294","1.766","0.28","2.051","0.359","2.417","0.415","2.842","0.393","3.246","0.331","3.588"
"3","","중구","","0.174","1.848","0.168","0.168","0.231","0.399","0.253","0.653","0.211","0.865","0.15","1.017","0.115","1.133","0.224","1.36","0.16","1.521","0.233","1.758","0.131","1.892","0.206","2.101","0.313","2.421","0.258","0.258","0.159","0.418","0.196","0.615","0.151","0.767","0.199","0.968","0.194","1.164","0.215","1.381","0.249","1.634","0.197","1.833","0.279","2.118","0.254","2.377","0.257","2.64"
"4","","","중앙동1가","0.153","1.099","0.097","0.097","-0.048","0.049","0.11","0.159","0.085","0.244","0.032","0.276","0.149","0.425","0.354","0.781","0.117","0.899","0.193","1.093","0.099","1.193","0.014","1.207","0.096","1.304","0.031","0.031","0.157","0.187","0.085","0.272","0.404","0.677","0.095","0.773","0.134","0.908","0.22","1.13","0.161","1.292","0.178","1.473","0.292","1.769","0.144","1.916","0.347","2.27"
"8","","","해안동1가","0.252","1.454","0.049","0.049","0.096","0.145","0.02","0.165","0.129","0.294","0.066","0.36","0.106","0.467","0.147","0.614","0.135","0.75","0.068","0.819","0.059","0.879","0.164","1.044","0.097","1.142","0.03","0.03","0.071","0.101","0.138","0.239","0.193","0.432","0.037","0.469","0.159","0.629","0.147","0.777","0.19","0.968","0.234","1.205","0.351","1.56","0.128","1.69","0.225","1.919"
"12","","","관동1가","0.192","0.961","0.179","0.179","-0.009","0.17","0.149","0.319","0.111","0.431","0.038","0.469","0.124","0.594","0.242","0.837","0.496","1.337","0.502","1.846","0.157","2.006","0.12","2.129","0.043","2.173","0.064","0.064","0.168","0.232","0.136","0.369","0.102","0.472","0.27","0.743","0.102","0.846","0.125","0.972","0.183","1.157","0.085","1.243","0.32","1.567","0.136","1.705","0.31","2.02"
"15","","","항동1가","0.194","1.432","0.094","0.094","0.184","0.278","0.168","0.447","0.061","0.508","0.077","0.586","0.114","0.701","0.159","0.86","0.206","1.068","0.21","1.281","0.136","1.418","0.117","1.537","0.178","1.718","0.048","0.048","0.143","0.191","0.118","0.31","0.157","0.467","0.127","0.595","0.06","0.654","0.149","0.805","0.149","0.955","0.172","1.128","0.292","1.424","0.254","1.682","0.294","1.981"
"22","","","송학동1가","0.178","0.685","0.123","0.123","0.147","0.27","0.008","0.278","0.039","0.316","-0.033","0.283","-0.021","0.263","0.173","0.436","0.178","0.615","0.124","0.74","0.172","0.913","0.177","1.092","0.187","1.281","0.112","0.112","0.064","0.176","0.114","0.291","0.344","0.636","0.257","0.894","0.239","1.135","0.414","1.554","0.216","1.774","0.206","1.984","0.32","2.31","0.272","2.588","0.463","3.063"
"25","","","사동","0.037","1.267","0.062","0.062","0.21","0.272","0.014","0.286","0.007","0.293","0.106","0.399","0.076","0.475","0.131","0.607","0.171","0.779","0.121","0.901","0.108","1.01","0.17","1.182","0.248","1.432","0.174","0.174","0.109","0.284","0.088","0.373","0.111","0.484","0.307","0.792","0.087","0.88","0.288","1.171","0.204","1.377","0.338","1.72","0.203","1.927","0.285","2.217","0.087","2.306"
"26","","","신생동","0.037","1.267","0.062","0.062","0.21","0.272","0.014","0.286","0.007","0.293","0.106","0.399","0.076","0.475","0.131","0.607","0.171","0.779","0.121","0.901","0.108","1.01","0.17","1.182","0.248","1.432","0.174","0.174","0.109","0.284","0.088","0.373","0.111","0.484","0.307","0.792","0.087","0.88","0.288","1.171","0.204","1.377","0.338","1.72","0.203","1.927","0.285","2.217","0.087","2.306"
