지 역,,,2016년 01월,,2016년 02월,,2016년 03월,,2016년 04월,,2016년 05월,,2016년 06월,,2016년 07월,,2016년 08월,,2016년 09월,,2016년 10월,,2016년 11월,,2016년 12월,,2017년 01월,,2017년 02월,,2017년 03월,,2017년 04월,,2017년 05월,,2017년 06월,,2017년 07월,,2017년 08월,,2017년 09월,,2017년 10월,,2017년 11월,,2017년 12월,,2018년 01월,,2018년 02월,,2018년 03월,,2018년 04월,,2018년 05월,,2018년 06월,,2018년 07월,,2018년 08월,,2018년 09월,,2018년 10월,,2018년 11월,,2018년 12월,
,,,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계
인천광역시,,,0.095,0.095,0.121,0.216,0.127,0.344,0.19,0.535,0.123,0.658,0.164,0.824,0.177,1.002,0.147,1.151,0.144,1.297,0.151,1.449,0.154,1.606,0.129,1.737,0.125,0.125,0.254,0.38,0.294,0.674,0.212,0.888,0.265,1.156,0.291,1.45,0.332,1.787,0.287,2.078,0.28,2.364,0.251,2.621,0.224,2.85,0.241,3.098,0.206,0.206,0.191,0.398,0.247,0.646,0.238,0.885,0.275,1.162,0.302,1.468,0.294,1.766,0.28,2.051,0.359,2.417,0.415,2.842,0.393,3.246,0.331,3.588
,중구,,0.104,0.104,0.083,0.187,0.203,0.39,0.116,0.506,0.077,0.584,0.244,0.828,0.286,1.116,0.113,1.231,0.119,1.351,0.168,1.52,0.148,1.671,0.174,1.848,0.168,0.168,0.231,0.399,0.253,0.653,0.211,0.865,0.15,1.017,0.115,1.133,0.224,1.36,0.16,1.521,0.233,1.758,0.131,1.892,0.206,2.101,0.313,2.421,0.258,0.258,0.159,0.418,0.196,0.615,0.151,0.767,0.199,0.968,0.194,1.164,0.215,1.381,0.249,1.634,0.197,1.833,0.279,2.118,0.254,2.377,0.257,2.64
,,중앙동1가,-0.01,-0.01,0.122,0.112,0.129,0.241,-0.14,0.101,0.182,0.283,0,0.283,0.092,0.375,0.035,0.41,0.097,0.508,0.073,0.581,0.361,0.945,0.153,1.099,0.097,0.097,-0.048,0.049,0.11,0.159,0.085,0.244,0.032,0.276,0.149,0.425,0.354,0.781,0.117,0.899,0.193,1.093,0.099,1.193,0.014,1.207,0.096,1.304,0.031,0.031,0.157,0.187,0.085,0.272,0.404,0.677,0.095,0.773,0.134,0.908,0.22,1.13,0.161,1.292,0.178,1.473,0.292,1.769,0.144,1.916,0.347,2.27
,,중앙동2가,-0.01,-0.01,0.122,0.112,0.129,0.241,-0.14,0.101,0.182,0.283,0,0.283,0.092,0.375,0.035,0.41,0.097,0.508,0.073,0.581,0.361,0.945,0.153,1.099,0.097,0.097,-0.048,0.049,0.11,0.159,0.085,0.244,0.032,0.276,0.149,0.425,0.354,0.781,0.117,0.899,0.193,1.093,0.099,1.193,0.014,1.207,0.096,1.304,0.031,0.031,0.157,0.187,0.085,0.272,0.404,0.677,0.095,0.773,0.134,0.908,0.22,1.13,0.161,1.292,0.178,1.473,0.292,1.769,0.144,1.916,0.347,2.27
,,중앙동3가,-0.01,-0.01,0.122,0.112,0.129,0.241,-0.14,0.101,0.182,0.283,0,0.283,0.092,0.375,0.035,0.41,0.097,0.508,0.073,0.581,0.361,0.945,0.153,1.099,0.097,0.097,-0.048,0.049,0.11,0.159,0.085,0.244,0.032,0.276,0.149,0.425,0.354,0.781,0.117,0.899,0.193,1.093,0.099,1.193,0.014,1.207,0.096,1.304,0.031,0.031,0.157,0.187,0.085,0.272,0.404,0.677,0.095,0.773,0.134,0.908,0.22,1.13,0.161,1.292,0.178,1.473,0.292,1.769,0.144,1.916,0.347,2.27
,,중앙동4가,-0.01,-0.01,0.122,0.112,0.129,0.241,-0.14,0.101,0.182,0.283,0,0.283,0.092,0.375,0.035,0.41,0.097,0.508,0.073,0.581,0.361,0.945,0.153,1.099,0.097,0.097,-0.048,0.049,0.11,0.159,0.085,0.244,0.032,0.276,0.149,0.425,0.354,0.781,0.117,0.899,0.193,1.093,0.099,1.193,0.014,1.207,0.096,1.304,0.031,0.031,0.157,0.187,0.085,0.272,0.404,0.677,0.095,0.773,0.134,0.908,0.22,1.13,0.161,1.292,0.178,1.473,0.292,1.769,0.144,1.916,0.347,2.27
,,해안동1가,0.047,0.047,-0.088,-0.04,0.161,0.121,0.106,0.227,0.081,0.308,0.073,0.381,0.091,0.472,0.091,0.564,0.137,0.702,0.276,0.979,0.217,1.199,0.252,1.454,0.049,0.049,0.096,0.145,0.02,0.165,0.129,0.294,0.066,0.36,0.106,0.467,0.147,0.614,0.135,0.75,0.068,0.819,0.059,0.879,0.164,1.044,0.097,1.142,0.03,0.03,0.071,0.101,0.138,0.239,0.193,0.432,0.037,0.469,0.159,0.629,0.147,0.777,0.19,0.968,0.234,1.205,0.351,1.56,0.128,1.69,0.225,1.919
,,해안동2가,0.047,0.047,-0.088,-0.04,0.161,0.121,0.106,0.227,0.081,0.308,0.073,0.381,0.091,0.472,0.091,0.564,0.137,0.702,0.276,0.979,0.217,1.199,0.252,1.454,0.049,0.049,0.096,0.145,0.02,0.165,0.129,0.294,0.066,0.36,0.106,0.467,0.147,0.614,0.135,0.75,0.068,0.819,0.059,0.879,0.164,1.044,0.097,1.142,0.03,0.03,0.071,0.101,0.138,0.239,0.193,0.432,0.037,0.469,0.159,0.629,0.147,0.777,0.19,0.968,0.234,1.205,0.351,1.56,0.128,1.69,0.225,1.919
,,해안동3가,0.047,0.047,-0.088,-0.04,0.161,0.121,0.106,0.227,0.081,0.308,0.073,0.381,0.091,0.472,0.091,0.564,0.137,0.702,0.276,0.979,0.217,1.199,0.252,1.454,0.049,0.049,0.096,0.145,0.02,0.165,0.129,0.294,0.066,0.36,0.106,0.467,0.147,0.614,0.135,0.75,0.068,0.819,0.059,0.879,0.164,1.044,0.097,1.142,0.03,0.03,0.071,0.101,0.138,0.239,0.193,0.432,0.037,0.469,0.159,0.629,0.147,0.777,0.19,0.968,0.234,1.205,0.351,1.56,0.128,1.69,0.225,1.919
,,해안동4가,0.047,0.047,-0.088,-0.04,0.161,0.121,0.106,0.227,0.081,0.308,0.073,0.381,0.091,0.472,0.091,0.564,0.137,0.702,0.276,0.979,0.217,1.199,0.252,1.454,0.049,0.049,0.096,0.145,0.02,0.165,0.129,0.294,0.066,0.36,0.106,0.467,0.147,0.614,0.135,0.75,0.068,0.819,0.059,0.879,0.164,1.044,0.097,1.142,0.03,0.03,0.071,0.101,0.138,0.239,0.193,0.432,0.037,0.469,0.159,0.629,0.147,0.777,0.19,0.968,0.234,1.205,0.351,1.56,0.128,1.69,0.225,1.919
,,관동1가,0.043,0.043,-0.081,-0.037,0.207,0.169,0.073,0.242,0.036,0.279,0.177,0.456,-0.222,0.233,0.102,0.336,0.015,0.351,0.237,0.588,0.178,0.767,0.192,0.961,0.179,0.179,-0.009,0.17,0.149,0.319,0.111,0.431,0.038,0.469,0.124,0.594,0.242,0.837,0.496,1.337,0.502,1.846,0.157,2.006,0.12,2.129,0.043,2.173,0.064,0.064,0.168,0.232,0.136,0.369,0.102,0.472,0.27,0.743,0.102,0.846,0.125,0.972,0.183,1.157,0.085,1.243,0.32,1.567,0.136,1.705,0.31,2.02
,,관동2가,0.043,0.043,-0.081,-0.037,0.207,0.169,0.073,0.242,0.036,0.279,0.177,0.456,-0.222,0.233,0.102,0.336,0.015,0.351,0.237,0.588,0.178,0.767,0.192,0.961,0.179,0.179,-0.009,0.17,0.149,0.319,0.111,0.431,0.038,0.469,0.124,0.594,0.242,0.837,0.496,1.337,0.502,1.846,0.157,2.006,0.12,2.129,0.043,2.173,0.064,0.064,0.168,0.232,0.136,0.369,0.102,0.472,0.27,0.743,0.102,0.846,0.125,0.972,0.183,1.157,0.085,1.243,0.32,1.567,0.136,1.705,0.31,2.02
,,관동3가,0.043,0.043,-0.081,-0.037,0.207,0.169,0.073,0.242,0.036,0.279,0.177,0.456,-0.222,0.233,0.102,0.336,0.015,0.351,0.237,0.588,0.178,0.767,0.192,0.961,0.179,0.179,-0.009,0.17,0.149,0.319,0.111,0.431,0.038,0.469,0.124,0.594,0.242,0.837,0.496,1.337,0.502,1.846,0.157,2.006,0.12,2.129,0.043,2.173,0.064,0.064,0.168,0.232,0.136,0.369,0.102,0.472,0.27,0.743,0.102,0.846,0.125,0.972,0.183,1.157,0.085,1.243,0.32,1.567,0.136,1.705,0.31,2.02
